6
90328.884
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 3.75 0.0 0.0 0.734213
O2C 2 4.9125 0.0 0.0 -0.367159
O2C 2 2.5875 0.0 0.0 -0.367159
6
35215.922
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 4.0 0.0 0.0 0.734213
O2C 2 5.1625 0.0 0.0 -0.367159
O2C 2 2.8375 0.0 0.0 -0.367159
6
12927.24
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 4.25 0.0 0.0 0.734213
O2C 2 5.4125 0.0 0.0 -0.367159
O2C 2 3.0875 0.0 0.0 -0.367159
6
4462.46
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 4.5 0.0 0.0 0.734213
O2C 2 5.6625 0.0 0.0 -0.367159
O2C 2 3.3375 0.0 0.0 -0.367159
6
1405.854
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 4.75 0.0 0.0 0.734213
O2C 2 5.9125 0.0 0.0 -0.367159
O2C 2 3.5875 0.0 0.0 -0.367159
6
370.769
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 5.0 0.0 0.0 0.734213
O2C 2 6.1625 0.0 0.0 -0.367159
O2C 2 3.8375 0.0 0.0 -0.367159
6
55.567
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 5.25 0.0 0.0 0.734213
O2C 2 6.4125 0.0 0.0 -0.367159
O2C 2 4.0875 0.0 0.0 -0.367159
6
-19.835
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 5.5 0.0 0.0 0.734213
O2C 2 6.6625 0.0 0.0 -0.367159
O2C 2 4.3375 0.0 0.0 -0.367159
6
-23.921
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 5.75 0.0 0.0 0.734213
O2C 2 6.9125 0.0 0.0 -0.367159
O2C 2 4.5875 0.0 0.0 -0.367159
6
-12.217
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 6.0 0.0 0.0 0.734213
O2C 2 7.1625 0.0 0.0 -0.367159
O2C 2 4.8375 0.0 0.0 -0.367159
6
6.862
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 6.5 0.0 0.0 0.734213
O2C 2 7.6625 0.0 0.0 -0.367159
O2C 2 5.3375 0.0 0.0 -0.367159
6
13.395
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 7.0 0.0 0.0 0.734213
O2C 2 8.1625 0.0 0.0 -0.367159
O2C 2 5.8375 0.0 0.0 -0.367159
6
12.254
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 8.0 0.0 0.0 0.734213
O2C 2 9.1625 0.0 0.0 -0.367159
O2C 2 6.8375 0.0 0.0 -0.367159
6
5.535
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 10.0 0.0 0.0 0.734213
O2C 2 11.1625 0.0 0.0 -0.367159
O2C 2 8.8375 0.0 0.0 -0.367159
6
2.488
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 12.0 0.0 0.0 0.734213
O2C 2 13.1625 0.0 0.0 -0.367159
O2C 2 10.8375 0.0 0.0 -0.367159
6
115788.421
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 3.5 0.0 0.0 0.734213
O2C 2 4.574009956504482 0.0 -0.44486949022071787 -0.367159
O2C 2 2.425990043495518 0.0 0.44486949022071787 -0.367159
6
50689.632
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 3.75 0.0 0.0 0.734213
O2C 2 4.824009956504482 0.0 -0.44486949022071787 -0.367159
O2C 2 2.675990043495518 0.0 0.44486949022071787 -0.367159
6
20067.219
CO2 1 0.0 0.0 0.0 0.734213
O2C 1 1.1625 0.0 0.0 -0.367159
O2C 1 -1.1625 0.0 0.0 -0.367159
CO2 2 4.0 0.0 0.0 0.734213
O2C 2 5.074009956504482 0.0 -0.44486949022071787 -0.367159
